seed,env_seed,algo_seed,perm,best_arm,final_arm,correct,wall_time_sec,spent_budget,duels,rewards,rounds_executed,seed_md
0,12345,67890,"12,8,9,6,11,5,0,13,15,2,4,14,1,7,10,3",6,6,1,1.5593485832214355,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_000.md
1,12346,67891,"12,11,10,6,8,13,1,4,14,2,9,3,7,0,5,15",13,13,1,1.5899581909179688,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_001.md
2,12347,67892,"3,13,2,7,0,11,14,1,15,12,10,4,5,6,9,8",4,4,1,1.457815170288086,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_002.md
3,12348,67893,"11,14,9,3,4,8,7,10,15,0,6,5,1,2,13,12",9,9,1,1.4279942512512207,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_003.md
4,12349,67894,"12,15,14,9,0,4,6,10,1,3,5,13,11,8,2,7",4,4,1,1.41180419921875,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_004.md
5,12350,67895,"14,3,0,12,9,7,13,6,1,2,5,11,15,4,10,8",2,2,1,1.399366855621338,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_005.md
6,12351,67896,"14,7,8,4,13,12,2,0,1,3,5,11,9,15,6,10",7,7,1,1.4746928215026855,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_006.md
7,12352,67897,"11,0,8,15,9,4,6,13,14,1,7,2,3,10,5,12",1,1,1,1.561201810836792,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_007.md
8,12353,67898,"6,0,4,10,11,14,1,2,8,13,9,5,15,7,3,12",1,1,1,1.3030540943145752,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_008.md
9,12354,67899,"8,4,1,13,9,12,3,10,6,14,0,5,15,7,11,2",10,10,1,1.3303353786468506,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_009.md
10,12355,67900,"2,6,1,3,15,10,14,12,7,4,11,8,0,5,13,9",12,12,1,1.391442060470581,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_010.md
11,12356,67901,"2,4,15,0,5,3,12,6,10,14,11,8,13,7,1,9",3,3,1,1.3616232872009277,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_011.md
12,12357,67902,"12,10,13,5,2,14,0,8,7,4,1,9,15,6,11,3",6,6,1,1.5004851818084717,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_012.md
13,12358,67903,"0,7,11,10,2,3,14,13,4,12,15,8,1,5,6,9",0,0,1,1.7042796611785889,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_013.md
14,12359,67904,"15,8,6,2,0,3,14,12,7,4,13,9,10,1,5,11",4,4,1,1.391552448272705,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_014.md
15,12360,67905,"7,10,2,0,8,6,3,4,13,15,11,14,12,5,9,1",3,3,1,1.3116331100463867,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_015.md
16,12361,67906,"12,7,1,9,13,3,6,11,0,5,2,14,10,8,15,4",8,8,1,1.3665900230407715,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_016.md
17,12362,67907,"5,12,11,15,0,7,3,1,8,14,4,10,9,2,6,13",4,4,1,1.3737518787384033,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_017.md
18,12363,67908,"10,4,5,0,11,7,13,8,3,2,9,6,15,1,12,14",3,3,1,1.3528704643249512,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_018.md
19,12364,67909,"10,2,1,8,7,14,4,12,5,13,0,9,15,3,6,11",10,10,1,1.3064963817596436,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_019.md
20,12365,67910,"15,6,3,14,0,11,9,10,1,13,2,7,8,4,5,12",4,4,1,1.251023769378662,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_020.md
21,12366,67911,"10,9,7,2,11,3,5,6,12,15,0,14,4,8,1,13",10,10,1,1.3874146938323975,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_021.md
22,12367,67912,"3,10,7,14,2,9,12,4,1,13,0,15,8,11,5,6",10,10,1,1.3331704139709473,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_022.md
23,12368,67913,"0,14,6,4,11,12,10,15,2,9,7,3,5,13,1,8",0,0,1,1.3161144256591797,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_023.md
24,12369,67914,"4,10,5,8,9,13,12,6,11,15,0,14,1,2,7,3",10,10,1,1.2828569412231445,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_024.md
25,12370,67915,"9,2,8,14,7,0,4,10,11,6,1,12,15,13,5,3",5,5,1,1.2465829849243164,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_025.md
26,12371,67916,"0,7,4,9,15,14,11,3,10,2,6,13,5,8,12,1",0,0,1,1.2780303955078125,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_026.md
27,12372,67917,"13,6,11,10,5,8,1,9,0,15,12,4,7,3,14,2",8,8,1,1.333033561706543,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_027.md
28,12373,67918,"4,9,12,8,1,11,15,13,2,6,5,10,0,7,14,3",12,12,1,1.3304927349090576,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_028.md
29,12374,67919,"7,0,13,14,1,5,3,10,6,15,8,9,11,12,4,2",1,1,1,1.3563239574432373,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_029.md
30,12375,67920,"4,7,6,12,8,9,15,3,2,13,1,11,5,14,10,0",15,15,1,1.3145618438720703,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_030.md
31,12376,67921,"11,6,15,12,10,14,4,3,1,8,13,9,2,0,7,5",13,13,1,1.4333436489105225,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_031.md
32,12377,67922,"2,5,13,6,4,3,11,10,12,1,14,15,0,9,7,8",12,12,1,1.27762770652771,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_032.md
33,12378,67923,"5,12,4,3,0,13,8,6,2,14,11,9,10,7,15,1",4,4,1,1.2729921340942383,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_033.md
34,12379,67924,"4,11,12,10,13,8,14,6,2,1,5,0,3,9,15,7",11,11,1,1.4518821239471436,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_034.md
35,12380,67925,"11,9,15,5,10,0,6,1,2,3,14,4,13,8,12,7",5,5,1,1.3870742321014404,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_035.md
36,12381,67926,"0,13,6,7,2,15,4,5,14,9,1,10,12,11,8,3",0,0,1,1.3058626651763916,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_036.md
37,12382,67927,"10,15,7,1,2,11,0,5,6,4,13,8,12,9,14,3",6,6,1,1.2789201736450195,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_037.md
38,12383,67928,"9,5,1,14,4,2,10,6,8,3,0,7,12,11,15,13",10,10,1,1.3788230419158936,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_038.md
39,12384,67929,"11,12,2,3,9,0,13,6,10,4,8,7,14,15,1,5",5,5,1,1.2315795421600342,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_039.md
40,12385,67930,"1,10,0,13,5,8,7,3,2,4,12,15,14,9,6,11",2,2,1,1.2769670486450195,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_040.md
41,12386,67931,"4,5,9,7,1,11,3,2,10,12,8,14,13,6,15,0",15,15,1,1.2690074443817139,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_041.md
42,12387,67932,"6,2,14,0,7,5,10,11,13,1,4,9,3,12,8,15",3,3,1,1.306462287902832,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_042.md
43,12388,67933,"2,4,7,3,9,8,5,11,13,6,1,0,12,14,15,10",11,11,1,1.324599266052246,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_043.md
44,12389,67934,"14,5,4,12,11,13,2,9,1,7,3,8,10,15,0,6",14,14,1,1.305649995803833,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_044.md
45,12390,67935,"0,8,14,11,13,6,9,10,7,1,5,3,4,2,15,12",0,0,1,1.2539074420928955,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_045.md
46,12391,67936,"11,8,9,12,2,1,10,4,15,7,3,13,0,14,5,6",12,12,1,1.2182302474975586,200000,0,200000,1,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_054340\UNIFORM_NO_ELIM_duel0\md\seed_046.md
