config_id,folder,algo,use_paper_dueling,total_budget,alpha,gamma,episode_keep,n_seeds,acc_mean,acc_std,wall_time_total_sec,per_seed_csv
FSH_duel0_g0.550000_k0.500000,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel0_g0p550000_k0p500000,FSH,0,1000,0.8,0.55,0.5,10000,0.7179,0.4500442689163123,419.9058394432068,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel0_g0p550000_k0p500000\per_seed.csv
FSH_duel0_g0.600000_k0.500000,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel0_g0p600000_k0p500000,FSH,0,1000,0.8,0.6,0.5,10000,0.7311,0.44341002609897606,416.70295119285583,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel0_g0p600000_k0p500000\per_seed.csv
FSH_duel0_g0.600000_k0.600000,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel0_g0p600000_k0p600000,FSH,0,1000,0.8,0.6,0.6,10000,0.7311,0.44341002609897606,415.4975664615631,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel0_g0p600000_k0p600000\per_seed.csv
FSH_duel0_g0.650000_k0.500000,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel0_g0p650000_k0p500000,FSH,0,1000,0.8,0.65,0.5,10000,0.7878,0.4088861440399724,427.6065742969513,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel0_g0p650000_k0p500000\per_seed.csv
FSH_duel0_g0.650000_k0.600000,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel0_g0p650000_k0p600000,FSH,0,1000,0.8,0.65,0.6,10000,0.7878,0.4088861440399724,417.4414927959442,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel0_g0p650000_k0p600000\per_seed.csv
FSH_duel0_g0.707107_k0.500000,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel0_g0p707107_k0p500000,FSH,0,1000,0.8,0.7071067811865475,0.5,10000,0.8039,0.3970649267507763,415.98600602149963,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel0_g0p707107_k0p500000\per_seed.csv
FSH_duel0_g0.707107_k0.600000,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel0_g0p707107_k0p600000,FSH,0,1000,0.8,0.7071067811865475,0.6,10000,0.8039,0.3970649267507763,353.5153923034668,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel0_g0p707107_k0p600000\per_seed.csv
FSH_duel0_g0.707107_k0.707107,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel0_g0p707107_k0p707107,FSH,0,1000,0.8,0.7071067811865475,0.7071067811865475,10000,0.8039,0.3970649267507763,355.38188004493713,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel0_g0p707107_k0p707107\per_seed.csv
FSH_duel0_g0.750000_k0.500000,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel0_g0p750000_k0p500000,FSH,0,1000,0.8,0.75,0.5,10000,0.8039,0.3970649267507763,372.9581513404846,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel0_g0p750000_k0p500000\per_seed.csv
FSH_duel0_g0.750000_k0.600000,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel0_g0p750000_k0p600000,FSH,0,1000,0.8,0.75,0.6,10000,0.8039,0.3970649267507763,352.13341522216797,d:\Reinforcement-Learning-Study\Fusing2\log\20251228_151152\FSH_duel0_g0p750000_k0p600000\per_seed.csv
