config_id,folder,scenario,K,algo,total_budget,alpha,gamma,episode_keep,n_seeds,acc_mean,acc_std,fallback_rate,wall_time_total_sec,per_seed_csv
fusing_bump_K32_BASELINE_NO_ELIM_MIX_a0.000,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_BASELINE_NO_ELIM_MIX_a0p000,fusing_bump,32,BASELINE_NO_ELIM_MIX,40000,0.0,,,10,1.0,0.0,0.0,4.26099705696106,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_BASELINE_NO_ELIM_MIX_a0p000/per_seed.csv
fusing_bump_K32_BASELINE_NO_ELIM_MIX_a0.500,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_BASELINE_NO_ELIM_MIX_a0p500,fusing_bump,32,BASELINE_NO_ELIM_MIX,40000,0.5,,,10,1.0,0.0,0.0,3.6862642765045166,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_BASELINE_NO_ELIM_MIX_a0p500/per_seed.csv
fusing_bump_K32_BASELINE_NO_ELIM_MIX_a1.000,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_BASELINE_NO_ELIM_MIX_a1p000,fusing_bump,32,BASELINE_NO_ELIM_MIX,40000,1.0,,,10,1.0,0.0,0.0,2.786759614944458,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_BASELINE_NO_ELIM_MIX_a1p000/per_seed.csv
fusing_bump_K32_FSH_a0.000_g0.000_k0.000_impl0,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_FSH_a0p000_g0p000_k0p000_impl0,fusing_bump,32,FSH,40000,0.0,0.0,0.0,10,0.4,0.5163977794943223,1.0,3.358499050140381,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_FSH_a0p000_g0p000_k0p000_impl0/per_seed.csv
fusing_bump_K32_FSH_a0.000_g0.000_k0.500_impl0,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_FSH_a0p000_g0p000_k0p500_impl0,fusing_bump,32,FSH,40000,0.0,0.0,0.5,10,0.4,0.5163977794943223,1.0,3.381115436553955,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_FSH_a0p000_g0p000_k0p500_impl0/per_seed.csv
fusing_bump_K32_FSH_a0.000_g0.000_k1.000_impl0,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_FSH_a0p000_g0p000_k1p000_impl0,fusing_bump,32,FSH,40000,0.0,0.0,1.0,10,0.4,0.5163977794943223,1.0,3.0940141677856445,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_FSH_a0p000_g0p000_k1p000_impl0/per_seed.csv
fusing_bump_K32_FSH_a0.000_g0.500_k0.000_impl0,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_FSH_a0p000_g0p500_k0p000_impl0,fusing_bump,32,FSH,40000,0.0,0.5,0.0,10,0.1,0.31622776601683794,1.0,3.306809663772583,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_FSH_a0p000_g0p500_k0p000_impl0/per_seed.csv
fusing_bump_K32_FSH_a0.000_g0.500_k0.500_impl0,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_FSH_a0p000_g0p500_k0p500_impl0,fusing_bump,32,FSH,40000,0.0,0.5,0.5,10,1.0,0.0,1.0,6.940191745758057,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_FSH_a0p000_g0p500_k0p500_impl0/per_seed.csv
fusing_bump_K32_FSH_a0.000_g0.500_k1.000_impl0,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_FSH_a0p000_g0p500_k1p000_impl0,fusing_bump,32,FSH,40000,0.0,0.5,1.0,10,1.0,0.0,1.0,9.084907531738281,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_FSH_a0p000_g0p500_k1p000_impl0/per_seed.csv
fusing_bump_K32_FSH_a0.000_g1.000_k0.000_impl0,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_FSH_a0p000_g1p000_k0p000_impl0,fusing_bump,32,FSH,40000,0.0,1.0,0.0,10,0.4,0.5163977794943223,1.0,3.3000690937042236,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_FSH_a0p000_g1p000_k0p000_impl0/per_seed.csv
fusing_bump_K32_FSH_a0.000_g1.000_k0.500_impl0,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_FSH_a0p000_g1p000_k0p500_impl0,fusing_bump,32,FSH,40000,0.0,1.0,0.5,10,1.0,0.0,1.0,8.80269193649292,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_FSH_a0p000_g1p000_k0p500_impl0/per_seed.csv
fusing_bump_K32_FSH_a0.000_g1.000_k1.000_impl0,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_FSH_a0p000_g1p000_k1p000_impl0,fusing_bump,32,FSH,40000,0.0,1.0,1.0,10,1.0,0.0,1.0,9.694881439208984,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_FSH_a0p000_g1p000_k1p000_impl0/per_seed.csv
fusing_bump_K32_FSH_a0.500_g0.000_k0.000_impl0,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_FSH_a0p500_g0p000_k0p000_impl0,fusing_bump,32,FSH,40000,0.5,0.0,0.0,10,0.2,0.42163702135578396,1.0,2.4564571380615234,/home/dguo294/Reinforcement-Learning-Study/Fusing2/log/20260103_230742/fusing_bump_K32/fusing_bump_K32_FSH_a0p500_g0p000_k0p000_impl0/per_seed.csv
