config_id,folder,scenario,K,algo,total_budget,alpha,gamma,episode_keep,use_class_impl,n_seeds,acc_mean,acc_std,fallback_rate,error_rate,wall_time_total_sec,per_seed_csv
fusing_bump_K32_BASELINE_NO_ELIM_MIX_a0.000,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\BASELINE_NO_ELIM_MIX\fusing_bump_K32_BASELINE_NO_ELIM_MIX_a0p000,fusing_bump,32,BASELINE_NO_ELIM_MIX,6000,0.0,,,False,1000,0.533,0.49915945364197695,0.0,0.0,125.53070282936096,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\BASELINE_NO_ELIM_MIX\fusing_bump_K32_BASELINE_NO_ELIM_MIX_a0p000\per_seed.csv
fusing_bump_K32_BASELINE_NO_ELIM_MIX_a0.250,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\BASELINE_NO_ELIM_MIX\fusing_bump_K32_BASELINE_NO_ELIM_MIX_a0p250,fusing_bump,32,BASELINE_NO_ELIM_MIX,6000,0.25,,,False,1000,0.558,0.49687310541312735,0.0,0.0,117.19032430648804,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\BASELINE_NO_ELIM_MIX\fusing_bump_K32_BASELINE_NO_ELIM_MIX_a0p250\per_seed.csv
fusing_bump_K32_BASELINE_NO_ELIM_MIX_a0.500,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\BASELINE_NO_ELIM_MIX\fusing_bump_K32_BASELINE_NO_ELIM_MIX_a0p500,fusing_bump,32,BASELINE_NO_ELIM_MIX,6000,0.5,,,False,1000,0.617,0.4863615399551532,0.0,0.0,103.89678883552551,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\BASELINE_NO_ELIM_MIX\fusing_bump_K32_BASELINE_NO_ELIM_MIX_a0p500\per_seed.csv
fusing_bump_K32_BASELINE_NO_ELIM_MIX_a0.750,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\BASELINE_NO_ELIM_MIX\fusing_bump_K32_BASELINE_NO_ELIM_MIX_a0p750,fusing_bump,32,BASELINE_NO_ELIM_MIX,6000,0.75,,,False,1000,0.67,0.47044800065610276,0.0,0.0,93.30140018463135,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\BASELINE_NO_ELIM_MIX\fusing_bump_K32_BASELINE_NO_ELIM_MIX_a0p750\per_seed.csv
fusing_bump_K32_BASELINE_NO_ELIM_MIX_a1.000,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\BASELINE_NO_ELIM_MIX\fusing_bump_K32_BASELINE_NO_ELIM_MIX_a1p000,fusing_bump,32,BASELINE_NO_ELIM_MIX,6000,1.0,,,False,1000,0.699,0.4589222261011198,0.0,0.0,81.06908178329468,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\BASELINE_NO_ELIM_MIX\fusing_bump_K32_BASELINE_NO_ELIM_MIX_a1p000\per_seed.csv
fusing_bump_K32_FSH_a0.000_g0.300_k0.300_impl1,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p300_k0p300_impl1,fusing_bump,32,FSH,6000,0.0,0.3,0.3,True,1000,0.576,0.49443752736667196,0.0,0.0,75.46441674232483,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p300_k0p300_impl1\per_seed.csv
fusing_bump_K32_FSH_a0.000_g0.300_k0.417_impl1,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p300_k0p417_impl1,fusing_bump,32,FSH,6000,0.0,0.3,0.41666666666666663,True,1000,0.663,0.472921404310123,0.0,0.0,77.37064266204834,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p300_k0p417_impl1\per_seed.csv
fusing_bump_K32_FSH_a0.000_g0.300_k0.533_impl1,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p300_k0p533_impl1,fusing_bump,32,FSH,6000,0.0,0.3,0.5333333333333333,True,1000,0.663,0.472921404310123,0.0,0.0,76.62753415107727,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p300_k0p533_impl1\per_seed.csv
fusing_bump_K32_FSH_a0.000_g0.300_k0.650_impl1,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p300_k0p650_impl1,fusing_bump,32,FSH,6000,0.0,0.3,0.6499999999999999,True,1000,0.663,0.472921404310123,0.0,0.0,75.97453713417053,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p300_k0p650_impl1\per_seed.csv
fusing_bump_K32_FSH_a0.000_g0.300_k0.767_impl1,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p300_k0p767_impl1,fusing_bump,32,FSH,6000,0.0,0.3,0.7666666666666666,True,1000,0.663,0.472921404310123,0.0,0.0,77.5266695022583,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p300_k0p767_impl1\per_seed.csv
fusing_bump_K32_FSH_a0.000_g0.300_k0.883_impl1,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p300_k0p883_impl1,fusing_bump,32,FSH,6000,0.0,0.3,0.8833333333333333,True,1000,0.663,0.472921404310123,0.0,0.0,75.84618926048279,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p300_k0p883_impl1\per_seed.csv
fusing_bump_K32_FSH_a0.000_g0.300_k1.000_impl1,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p300_k1p000_impl1,fusing_bump,32,FSH,6000,0.0,0.3,1.0,True,1000,0.663,0.472921404310123,0.0,0.0,81.16166639328003,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p300_k1p000_impl1\per_seed.csv
fusing_bump_K32_FSH_a0.000_g0.417_k0.300_impl1,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p417_k0p300_impl1,fusing_bump,32,FSH,6000,0.0,0.41666666666666663,0.3,True,1000,0.553,0.4974318430081025,0.0,0.0,80.10416960716248,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p417_k0p300_impl1\per_seed.csv
fusing_bump_K32_FSH_a0.000_g0.417_k0.417_impl1,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p417_k0p417_impl1,fusing_bump,32,FSH,6000,0.0,0.41666666666666663,0.41666666666666663,True,1000,0.673,0.46935199082489637,0.0,0.0,98.75407695770264,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p417_k0p417_impl1\per_seed.csv
fusing_bump_K32_FSH_a0.000_g0.417_k0.533_impl1,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p417_k0p533_impl1,fusing_bump,32,FSH,6000,0.0,0.41666666666666663,0.5333333333333333,True,1000,0.666,0.47187568984497147,0.0,0.0,99.90315365791321,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p417_k0p533_impl1\per_seed.csv
fusing_bump_K32_FSH_a0.000_g0.417_k0.650_impl1,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p417_k0p650_impl1,fusing_bump,32,FSH,6000,0.0,0.41666666666666663,0.6499999999999999,True,1000,0.666,0.47187568984497147,0.0,0.0,100.35049772262573,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p417_k0p650_impl1\per_seed.csv
fusing_bump_K32_FSH_a0.000_g0.417_k0.767_impl1,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p417_k0p767_impl1,fusing_bump,32,FSH,6000,0.0,0.41666666666666663,0.7666666666666666,True,1000,0.805,0.3963989557656956,0.0,0.0,117.22294688224792,D:\Reinforcement-Learning-Study\Fusing2\log\20260105_052920\fusing_bump\K32\FSH\fusing_bump_K32_FSH_a0p000_g0p417_k0p767_impl1\per_seed.csv
