zeta,alpha0_nearest,alpha_0
0.0,0.5,0.5
0.025,0.475,0.4766472527493626
0.05,0.45,0.4559001141608968
0.075,0.4375,0.4370517200127479
0.1,0.425,0.41965433362639437
0.125,0.4,0.4034035746171562
0.15,0.3875,0.3880815333819421
0.175,0.375,0.3735258806274491
0.2,0.3625,0.3596117967977924
0.225,0.35,0.3462407717663988
0.25,0.3375,0.33333333333333326
0.275,0.325,0.32082414293644446
0.3,0.3125,0.30865858033264926
0.325,0.3,0.29679029916475064
0.35,0.2875,0.2851794352310648
0.375,0.275,0.2737912651869989
0.4,0.2625,0.26259518318365804
0.425,0.25,0.2515639063367424
0.45,0.2375,0.24067284767378416
0.475,0.225,0.22989961340907983
0.5,0.225,0.21922359359558485
0.525,0.2125,0.20862562353811476
0.55,0.2,0.19808769914120417
0.575,0.1875,0.18759273344074412
0.6,0.175,0.17712434446770486
0.625,0.1625,0.16666666666666674
0.65,0.15,0.15620417957520605
0.675,0.15,0.14572154851906016
0.7,0.1375,0.13520347279733747
0.725,0.125,0.12463453729106244
0.75,0.1125,0.1139990636706174
0.775,0.1,0.1032809574270428
0.8,0.0875,0.0924635468163375
0.825,0.0875,0.08152940947742904
0.85,0.075,0.07046018194033454
0.875,0.0625,0.05923634643994724
0.9,0.05,0.04783698832879768
0.925,0.0375,0.03623951584399521
0.95,0.025,0.024419331891220253
0.975,0.0125,0.012349444661317932
1.0,0.0,0.0
