scenario,K,T,zeta_req,alpha_req,n,acc_mean,acc_std,acc_ci95,spent_mean,spent_std,spent_ci95,clamp_rate,permute_mu,base_perm_seed
gaps_decreasing,32,10000,0.0,0.0,5000,0.0266,0.16091127990293283,0.004460233121799801,10540.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.0,0.0125,5000,0.0266,0.16091127990293283,0.004460233121799801,10540.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.0,0.025,5000,0.0266,0.16091127990293283,0.004460233121799801,10540.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.0,0.0375,5000,0.0272,0.16266579234737708,0.004508865725567795,10540.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.0,0.05,5000,0.0272,0.16266579234737708,0.004508865725567795,10540.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.0,0.0625,5000,0.0294,0.1689249537516586,0.004682360828129332,10540.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.0,0.075,5000,0.0294,0.1689249537516586,0.004682360828129332,10540.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.0,0.0875,5000,0.0294,0.1689249537516586,0.004682360828129332,10540.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.0,0.1,5000,0.0306,0.17223135603019563,0.004774009623450711,10540.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.0,0.1125,5000,0.0306,0.17223135603019563,0.004774009623450711,10540.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.0,0.125,5000,0.0396,0.19501753767289753,0.005405610354881306,10540.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.0,0.1375,5000,0.0396,0.19501753767289753,0.005405610354881306,10540.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.0,0.15,5000,0.0396,0.19501753767289753,0.005405610354881306,10540.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.0,0.1625,5000,0.0402,0.19642800207709693,0.005444706433518707,10540.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.0,0.175,5000,0.0402,0.19642800207709693,0.005444706433518707,10540.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.0,0.1875,5000,0.0446,0.20642393272099047,0.005721779494947354,10540.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.0,0.2,5000,0.0446,0.20642393272099047,0.005721779494947354,10540.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.0,0.2125,5000,0.0446,0.20642393272099047,0.005721779494947354,10540.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.0,0.225,5000,0.0472,0.21206640469437868,0.005878180838592837,10540.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.0,0.2375,5000,0.0472,0.21206640469437868,0.005878180838592837,10540.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.0,0.25,5000,0.0886,0.28416551514918204,0.007876666219461126,10540.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.0,0.2625,5000,0.0886,0.28416551514918204,0.007876666219461126,10540.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.0,0.275,5000,0.0886,0.28416551514918204,0.007876666219461126,10540.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.0,0.2875,5000,0.091,0.28760910973055076,0.007972117791402734,10540.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.0,0.3,5000,0.091,0.28760910973055076,0.007972117791402734,10540.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.0,0.3125,5000,0.1062,0.3080934273885115,0.008539914108420527,10540.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.0,0.325,5000,0.1062,0.3080934273885115,0.008539914108420527,10540.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.0,0.3375,5000,0.1062,0.3080934273885115,0.008539914108420527,10540.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.0,0.35,5000,0.112,0.31536645351083237,0.008741512107181456,10540.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.0,0.3625,5000,0.112,0.31536645351083237,0.008741512107181456,10540.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.0,0.375,5000,0.161,0.3675309510775929,0.01018743820987396,10540.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.0,0.3875,5000,0.161,0.3675309510775929,0.01018743820987396,10540.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.0,0.4,5000,0.161,0.3675309510775929,0.01018743820987396,10540.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.0,0.4125,5000,0.1718,0.37720652168275143,0.01045563134407483,10540.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.0,0.425,5000,0.1718,0.37720652168275143,0.01045563134407483,10540.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.0,0.4375,5000,0.2024,0.4017888002421172,0.011137017342035522,10540.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.0,0.45,5000,0.2024,0.4017888002421172,0.011137017342035522,10540.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.0,0.4625,5000,0.2024,0.4017888002421172,0.011137017342035522,10540.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.0,0.475,5000,0.2154,0.4110995499875912,0.01139509815792738,10540.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.0,0.4875,5000,0.2154,0.4110995499875912,0.01139509815792738,10540.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.0,0.5,5000,0.9096,0.28675397120179524,0.007948414560703285,10540.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.025,0.0,5000,0.444,0.4968541033341679,0.013772093104535707,10170.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.025,0.0125,5000,0.444,0.4968541033341679,0.013772093104535707,10170.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.025,0.025,5000,0.444,0.4968541033341679,0.013772093104535707,10170.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.025,0.0375,5000,0.4364,0.4959385445798703,0.013746715110629157,10168.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.025,0.05,5000,0.4364,0.4959385445798703,0.013746715110629157,10168.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.025,0.0625,5000,0.4424,0.4966711588163742,0.013767022141218483,10162.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.025,0.075,5000,0.4424,0.4966711588163742,0.013767022141218483,10162.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.025,0.0875,5000,0.4424,0.4966711588163742,0.013767022141218483,10162.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.025,0.1,5000,0.448,0.49728864857344174,0.013784138084044283,10160.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.025,0.1125,5000,0.448,0.49728864857344174,0.013784138084044283,10160.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.025,0.125,5000,0.4536,0.4978423846962008,0.013799486866286006,10154.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.025,0.1375,5000,0.4536,0.4978423846962008,0.013799486866286006,10154.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.025,0.15,5000,0.4536,0.4978423846962008,0.013799486866286006,10154.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.025,0.1625,5000,0.4584,0.4982664347515293,0.01381124093413767,10152.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.025,0.175,5000,0.4584,0.4982664347515293,0.01381124093413767,10152.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.025,0.1875,5000,0.4588,0.4982996688740622,0.013812162137015334,10146.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.025,0.2,5000,0.4588,0.4982996688740622,0.013812162137015334,10146.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.025,0.2125,5000,0.4588,0.4982996688740622,0.013812162137015334,10146.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.025,0.225,5000,0.4472,0.4972043443092588,0.013781801289062326,10144.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.025,0.2375,5000,0.4472,0.4972043443092588,0.013781801289062326,10144.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.025,0.25,5000,0.5014,0.4999980399961584,0.013859238582721634,10171.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.025,0.2625,5000,0.5014,0.4999980399961584,0.013859238582721634,10171.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.025,0.275,5000,0.5014,0.4999980399961584,0.013859238582721634,10171.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.025,0.2875,5000,0.5098,0.4999039507745463,0.013856630562557407,10168.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.025,0.3,5000,0.5098,0.4999039507745463,0.013856630562557407,10168.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.025,0.3125,5000,0.5042,0.49998235968881943,0.013858803946776937,10160.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.025,0.325,5000,0.5042,0.49998235968881943,0.013858803946776937,10160.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.025,0.3375,5000,0.5042,0.49998235968881943,0.013858803946776937,10160.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.025,0.35,5000,0.5154,0.4997627837284405,0.013852717611674613,10157.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.025,0.3625,5000,0.5154,0.4997627837284405,0.013852717611674613,10157.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.025,0.375,5000,0.5322,0.4989620827277359,0.013830523312268412,10145.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.025,0.3875,5000,0.5322,0.4989620827277359,0.013830523312268412,10145.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.025,0.4,5000,0.5322,0.4989620827277359,0.013830523312268412,10145.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.025,0.4125,5000,0.5294,0.4991348915874345,0.013835313329476857,10142.0,0.0,0.0,0.0,1,77777
