scenario,K,T,zeta_req,alpha_req,n,acc_mean,acc_std,acc_ci95,spent_mean,spent_std,spent_ci95,clamp_rate,permute_mu,base_perm_seed
gaps_increasing_tiny,32,20000,0.0,0.0,5000,0.0266,0.16091127990293283,0.004460233121799801,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing_tiny,32,20000,0.0,0.0125,5000,0.0266,0.16091127990293283,0.004460233121799801,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing_tiny,32,20000,0.0,0.025,5000,0.0266,0.16091127990293283,0.004460233121799801,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing_tiny,32,20000,0.0,0.0375,5000,0.0276,0.1638238077936171,0.004540964276098194,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing_tiny,32,20000,0.0,0.05,5000,0.0276,0.1638238077936171,0.004540964276098194,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing_tiny,32,20000,0.0,0.0625,5000,0.0312,0.1738578729882544,0.004819094373344435,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing_tiny,32,20000,0.0,0.075,5000,0.0312,0.1738578729882544,0.004819094373344435,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing_tiny,32,20000,0.0,0.0875,5000,0.0312,0.1738578729882544,0.004819094373344435,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing_tiny,32,20000,0.0,0.1,5000,0.0322,0.17653090381006947,0.004893187007585138,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing_tiny,32,20000,0.0,0.1125,5000,0.0322,0.17653090381006947,0.004893187007585138,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing_tiny,32,20000,0.0,0.125,5000,0.0366,0.18777763445096438,0.005204930476077466,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing_tiny,32,20000,0.0,0.1375,5000,0.0366,0.18777763445096438,0.005204930476077466,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing_tiny,32,20000,0.0,0.15,5000,0.0366,0.18777763445096438,0.005204930476077466,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing_tiny,32,20000,0.0,0.1625,5000,0.0362,0.18678747281335545,0.005177484595747243,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing_tiny,32,20000,0.0,0.175,5000,0.0362,0.18678747281335545,0.005177484595747243,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing_tiny,32,20000,0.0,0.1875,5000,0.0374,0.18973992726888034,0.00525932245795977,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing_tiny,32,20000,0.0,0.2,5000,0.0374,0.18973992726888034,0.00525932245795977,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing_tiny,32,20000,0.0,0.2125,5000,0.0374,0.18973992726888034,0.00525932245795977,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing_tiny,32,20000,0.0,0.225,5000,0.0372,0.18925157859315203,0.005245786123280285,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing_tiny,32,20000,0.0,0.2375,5000,0.0372,0.18925157859315203,0.005245786123280285,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing_tiny,32,20000,0.0,0.25,5000,0.0584,0.23449827291474878,0.00649996050301846,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing_tiny,32,20000,0.0,0.2625,5000,0.0584,0.23449827291474878,0.00649996050301846,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing_tiny,32,20000,0.0,0.275,5000,0.0584,0.23449827291474878,0.00649996050301846,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing_tiny,32,20000,0.0,0.2875,5000,0.0592,0.23599864406390134,0.006541548669481868,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing_tiny,32,20000,0.0,0.3,5000,0.0592,0.23599864406390134,0.006541548669481868,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing_tiny,32,20000,0.0,0.3125,5000,0.0584,0.23449827291474878,0.00649996050301846,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing_tiny,32,20000,0.0,0.325,5000,0.0584,0.23449827291474878,0.00649996050301846,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing_tiny,32,20000,0.0,0.3375,5000,0.0584,0.23449827291474878,0.00649996050301846,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing_tiny,32,20000,0.0,0.35,5000,0.0612,0.23969680848939143,0.006644056557495578,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing_tiny,32,20000,0.0,0.3625,5000,0.0612,0.23969680848939143,0.006644056557495578,20550.0,0.0,0.0,0.0,1,77777
gaps_increasing_tiny,32,20000,0.0,0.375,5000,0.0698,0.25480965444817827,0.007062963275226625,20550.0,0.0,0.0,0.0,1,77777
