scenario,K,T,zeta_req,alpha_req,n,acc_sum,spent_sum,spent_sumsq,clamp_cnt,permute_mu,base_perm_seed,acc_mean,acc_std,acc_sem,acc_ci95,spent_mean,spent_std,spent_sem,spent_ci95,clamp_rate
random,32,40000,0.0,0.0,5000,133,202420000.0,8194771280000.0,0,1,77777,0.0266,0.16091127990293283,0.0022756291437754086,0.004460233121799801,40484.0,0.0,0.0,0.0,0.0
random,32,40000,0.0,0.0125,5000,133,202420000.0,8194771280000.0,0,1,77777,0.0266,0.16091127990293283,0.0022756291437754086,0.004460233121799801,40484.0,0.0,0.0,0.0,0.0
random,32,40000,0.0,0.025,5000,133,202420000.0,8194771280000.0,0,1,77777,0.0266,0.16091127990293283,0.0022756291437754086,0.004460233121799801,40484.0,0.0,0.0,0.0,0.0
random,32,40000,0.0,0.0375,5000,140,202420000.0,8194771280000.0,0,1,77777,0.028,0.16497272501841023,0.0023330666514268295,0.004572810636796586,40484.0,0.0,0.0,0.0,0.0
random,32,40000,0.0,0.05,5000,140,202420000.0,8194771280000.0,0,1,77777,0.028,0.16497272501841023,0.0023330666514268295,0.004572810636796586,40484.0,0.0,0.0,0.0,0.0
random,32,40000,0.0,0.0625,5000,154,202420000.0,8194771280000.0,0,1,77777,0.0308,0.1727754612206259,0.0024434140050347587,0.004789091449868127,40484.0,0.0,0.0,0.0,0.0
random,32,40000,0.0,0.075,5000,154,202420000.0,8194771280000.0,0,1,77777,0.0308,0.1727754612206259,0.0024434140050347587,0.004789091449868127,40484.0,0.0,0.0,0.0,0.0
random,32,40000,0.0,0.0875,5000,154,202420000.0,8194771280000.0,0,1,77777,0.0308,0.1727754612206259,0.0024434140050347587,0.004789091449868127,40484.0,0.0,0.0,0.0,0.0
random,32,40000,0.0,0.1,5000,162,202420000.0,8194771280000.0,0,1,77777,0.0324,0.1770599898339543,0.0025040063897682047,0.004907852523945681,40484.0,0.0,0.0,0.0,0.0
random,32,40000,0.0,0.1125,5000,162,202420000.0,8194771280000.0,0,1,77777,0.0324,0.1770599898339543,0.0025040063897682047,0.004907852523945681,40484.0,0.0,0.0,0.0,0.0
random,32,40000,0.0,0.125,5000,198,202420000.0,8194771280000.0,0,1,77777,0.0396,0.19501753767289753,0.0027579644667761766,0.005405610354881306,40484.0,0.0,0.0,0.0,0.0
random,32,40000,0.0,0.1375,5000,198,202420000.0,8194771280000.0,0,1,77777,0.0396,0.19501753767289753,0.0027579644667761766,0.005405610354881306,40484.0,0.0,0.0,0.0,0.0
random,32,40000,0.0,0.15,5000,198,202420000.0,8194771280000.0,0,1,77777,0.0396,0.19501753767289753,0.0027579644667761766,0.005405610354881306,40484.0,0.0,0.0,0.0,0.0
random,32,40000,0.0,0.1625,5000,209,202420000.0,8194771280000.0,0,1,77777,0.0418,0.2001318565346357,0.002830291857741883,0.005547372041174091,40484.0,0.0,0.0,0.0,0.0
random,32,40000,0.0,0.175,5000,209,202420000.0,8194771280000.0,0,1,77777,0.0418,0.2001318565346357,0.002830291857741883,0.005547372041174091,40484.0,0.0,0.0,0.0,0.0
random,32,40000,0.0,0.1875,5000,226,202420000.0,8194771280000.0,0,1,77777,0.0452,0.2077425329584676,0.0029379230759160454,0.005758329228795449,40484.0,0.0,0.0,0.0,0.0
random,32,40000,0.0,0.2,5000,226,202420000.0,8194771280000.0,0,1,77777,0.0452,0.2077425329584676,0.0029379230759160454,0.005758329228795449,40484.0,0.0,0.0,0.0,0.0
random,32,40000,0.0,0.2125,5000,226,202420000.0,8194771280000.0,0,1,77777,0.0452,0.2077425329584676,0.0029379230759160454,0.005758329228795449,40484.0,0.0,0.0,0.0,0.0
random,32,40000,0.0,0.225,5000,239,202420000.0,8194771280000.0,0,1,77777,0.0478,0.21334282270561625,0.0030171231330524116,0.005913561340782726,40484.0,0.0,0.0,0.0,0.0
random,32,40000,0.0,0.2375,5000,239,202420000.0,8194771280000.0,0,1,77777,0.0478,0.21334282270561625,0.0030171231330524116,0.005913561340782726,40484.0,0.0,0.0,0.0,0.0
random,32,40000,0.0,0.25,5000,444,202420000.0,8194771280000.0,0,1,77777,0.0888,0.28445484703200263,0.0040227990255542224,0.007884686090086275,40484.0,0.0,0.0,0.0,0.0
random,32,40000,0.0,0.2625,5000,444,202420000.0,8194771280000.0,0,1,77777,0.0888,0.28445484703200263,0.0040227990255542224,0.007884686090086275,40484.0,0.0,0.0,0.0,0.0
random,32,40000,0.0,0.275,5000,444,202420000.0,8194771280000.0,0,1,77777,0.0888,0.28445484703200263,0.0040227990255542224,0.007884686090086275,40484.0,0.0,0.0,0.0,0.0
random,32,40000,0.0,0.2875,5000,459,202420000.0,8194771280000.0,0,1,77777,0.0918,0.28874341550934113,0.004083448542592401,0.008003559143481106,40484.0,0.0,0.0,0.0,0.0
random,32,40000,0.0,0.3,5000,459,202420000.0,8194771280000.0,0,1,77777,0.0918,0.28874341550934113,0.004083448542592401,0.008003559143481106,40484.0,0.0,0.0,0.0,0.0
random,32,40000,0.0,0.3125,5000,532,202420000.0,8194771280000.0,0,1,77777,0.1064,0.3083488933010787,0.004360711868491198,0.008546995262242748,40484.0,0.0,0.0,0.0,0.0
random,32,40000,0.0,0.325,5000,532,202420000.0,8194771280000.0,0,1,77777,0.1064,0.3083488933010787,0.004360711868491198,0.008546995262242748,40484.0,0.0,0.0,0.0,0.0
random,32,40000,0.0,0.3375,5000,532,202420000.0,8194771280000.0,0,1,77777,0.1064,0.3083488933010787,0.004360711868491198,0.008546995262242748,40484.0,0.0,0.0,0.0,0.0
random,32,40000,0.0,0.35,5000,558,202420000.0,8194771280000.0,0,1,77777,0.1116,0.3148736889611452,0.004452986413632991,0.008727853370720661,40484.0,0.0,0.0,0.0,0.0
random,32,40000,0.0,0.3625,5000,558,202420000.0,8194771280000.0,0,1,77777,0.1116,0.3148736889611452,0.004452986413632991,0.008727853370720661,40484.0,0.0,0.0,0.0,0.0
random,32,40000,0.0,0.375,5000,818,202420000.0,8194771280000.0,0,1,77777,0.1636,0.3699122058002412,0.005231348583300485,0.010253443223268951,40484.0,0.0,0.0,0.0,0.0
random,32,40000,0.0,0.3875,5000,818,202420000.0,8194771280000.0,0,1,77777,0.1636,0.3699122058002412,0.005231348583300485,0.010253443223268951,40484.0,0.0,0.0,0.0,0.0
random,32,40000,0.0,0.4,5000,818,202420000.0,8194771280000.0,0,1,77777,0.1636,0.3699122058002412,0.005231348583300485,0.010253443223268951,40484.0,0.0,0.0,0.0,0.0
random,32,40000,0.0,0.4125,5000,867,202420000.0,8194771280000.0,0,1,77777,0.1734,0.3785927099139655,0.0053541094497591285,0.010494054521527891,40484.0,0.0,0.0,0.0,0.0
random,32,40000,0.0,0.425,5000,867,202420000.0,8194771280000.0,0,1,77777,0.1734,0.3785927099139655,0.0053541094497591285,0.010494054521527891,40484.0,0.0,0.0,0.0,0.0
random,32,40000,0.0,0.4375,5000,1040,202420000.0,8194771280000.0,0,1,77777,0.208,0.4058768286069063,0.005739965156688671,0.011250331707109795,40484.0,0.0,0.0,0.0,0.0
random,32,40000,0.0,0.45,5000,1040,202420000.0,8194771280000.0,0,1,77777,0.208,0.4058768286069063,0.005739965156688671,0.011250331707109795,40484.0,0.0,0.0,0.0,0.0
random,32,40000,0.0,0.4625,5000,1040,202420000.0,8194771280000.0,0,1,77777,0.208,0.4058768286069063,0.005739965156688671,0.011250331707109795,40484.0,0.0,0.0,0.0,0.0
random,32,40000,0.0,0.475,5000,1085,202420000.0,8194771280000.0,0,1,77777,0.217,0.4122026200790092,0.005829425357614591,0.011425673700924597,40484.0,0.0,0.0,0.0,0.0
random,32,40000,0.0,0.4875,5000,1085,202420000.0,8194771280000.0,0,1,77777,0.217,0.4122026200790092,0.005829425357614591,0.011425673700924597,40484.0,0.0,0.0,0.0,0.0
random,32,40000,0.0,0.5,5000,4990,202420000.0,8194771280000.0,0,1,77777,0.998,0.04467661580737737,0.0006318227599572528,0.0012383726095162154,40484.0,0.0,0.0,0.0,0.0
random,32,40000,0.025,0.0,5000,3661,200900000.0,8072162000000.0,0,1,77777,0.7322,0.4428127821100019,0.006262318420521269,0.012274144104221688,40180.0,0.0,0.0,0.0,0.0
random,32,40000,0.025,0.0125,5000,3661,200900000.0,8072162000000.0,0,1,77777,0.7322,0.4428127821100019,0.006262318420521269,0.012274144104221688,40180.0,0.0,0.0,0.0,0.0
random,32,40000,0.025,0.025,5000,3661,200900000.0,8072162000000.0,0,1,77777,0.7322,0.4428127821100019,0.006262318420521269,0.012274144104221688,40180.0,0.0,0.0,0.0,0.0
random,32,40000,0.025,0.0375,5000,3623,200865000.0,8069349645000.0,0,1,77777,0.7246,0.4467156142334852,0.006317512801728224,0.012382325091387317,40173.0,0.0,0.0,0.0,0.0
random,32,40000,0.025,0.05,5000,3623,200865000.0,8069349645000.0,0,1,77777,0.7246,0.4467156142334852,0.006317512801728224,0.012382325091387317,40173.0,0.0,0.0,0.0,0.0
random,32,40000,0.025,0.0625,5000,3658,200840000.0,8067341120000.0,0,1,77777,0.7316,0.4431268892766495,0.006266760566672385,0.012282850710677874,40168.0,0.0,0.0,0.0,0.0
random,32,40000,0.025,0.075,5000,3658,200840000.0,8067341120000.0,0,1,77777,0.7316,0.4431268892766495,0.006266760566672385,0.012282850710677874,40168.0,0.0,0.0,0.0,0.0
random,32,40000,0.025,0.0875,5000,3658,200840000.0,8067341120000.0,0,1,77777,0.7316,0.4431268892766495,0.006266760566672385,0.012282850710677874,40168.0,0.0,0.0,0.0,0.0
random,32,40000,0.025,0.1,5000,3656,200805000.0,8064529605000.0,0,1,77777,0.7312,0.4433357192918252,0.006269713869069306,0.01228863918337584,40161.0,0.0,0.0,0.0,0.0
random,32,40000,0.025,0.1125,5000,3656,200805000.0,8064529605000.0,0,1,77777,0.7312,0.4433357192918252,0.006269713869069306,0.01228863918337584,40161.0,0.0,0.0,0.0,0.0
random,32,40000,0.025,0.125,5000,3732,200925000.0,8074171125000.0,0,1,77777,0.7464,0.43507130450076803,0.006152837394243407,0.012059561292717078,40185.0,0.0,0.0,0.0,0.0
random,32,40000,0.025,0.1375,5000,3732,200925000.0,8074171125000.0,0,1,77777,0.7464,0.43507130450076803,0.006152837394243407,0.012059561292717078,40185.0,0.0,0.0,0.0,0.0
random,32,40000,0.025,0.15,5000,3732,200925000.0,8074171125000.0,0,1,77777,0.7464,0.43507130450076803,0.006152837394243407,0.012059561292717078,40185.0,0.0,0.0,0.0,0.0
random,32,40000,0.025,0.1625,5000,3691,200885000.0,8070956645000.0,0,1,77777,0.7382,0.4396143309765959,0.006217085490806766,0.01218548756198126,40177.0,0.0,0.0,0.0,0.0
random,32,40000,0.025,0.175,5000,3691,200885000.0,8070956645000.0,0,1,77777,0.7382,0.4396143309765959,0.006217085490806766,0.01218548756198126,40177.0,0.0,0.0,0.0,0.0
random,32,40000,0.025,0.1875,5000,3753,200835000.0,8066939445000.0,0,1,77777,0.7506,0.4326657370303315,0.0061188175328244585,0.011992882364335938,40167.0,0.0,0.0,0.0,0.0
random,32,40000,0.025,0.2,5000,3753,200835000.0,8066939445000.0,0,1,77777,0.7506,0.4326657370303315,0.0061188175328244585,0.011992882364335938,40167.0,0.0,0.0,0.0,0.0
random,32,40000,0.025,0.2125,5000,3753,200835000.0,8066939445000.0,0,1,77777,0.7506,0.4326657370303315,0.0061188175328244585,0.011992882364335938,40167.0,0.0,0.0,0.0,0.0
random,32,40000,0.025,0.225,5000,3711,200795000.0,8063726405000.0,0,1,77777,0.7422,0.4374233189943124,0.006186099902200093,0.012124755808312182,40159.0,0.0,0.0,0.0,0.0
random,32,40000,0.025,0.2375,5000,3711,200795000.0,8063726405000.0,0,1,77777,0.7422,0.4374233189943124,0.006186099902200093,0.012124755808312182,40159.0,0.0,0.0,0.0,0.0
random,32,40000,0.025,0.25,5000,3976,200865000.0,8069349645000.0,0,1,77777,0.7952,0.4035553989231218,0.005707135183259635,0.011185984959188884,40173.0,0.0,0.0,0.0,0.0
random,32,40000,0.025,0.2625,5000,3976,200865000.0,8069349645000.0,0,1,77777,0.7952,0.4035553989231218,0.005707135183259635,0.011185984959188884,40173.0,0.0,0.0,0.0,0.0
random,32,40000,0.025,0.275,5000,3976,200865000.0,8069349645000.0,0,1,77777,0.7952,0.4035553989231218,0.005707135183259635,0.011185984959188884,40173.0,0.0,0.0,0.0,0.0
random,32,40000,0.025,0.2875,5000,3968,200820000.0,8065734480000.0,0,1,77777,0.7936,0.4047209408963169,0.0057236184359197115,0.011218292134402634,40164.0,0.0,0.0,0.0,0.0
random,32,40000,0.025,0.3,5000,3968,200820000.0,8065734480000.0,0,1,77777,0.7936,0.4047209408963169,0.0057236184359197115,0.011218292134402634,40164.0,0.0,0.0,0.0,0.0
random,32,40000,0.025,0.3125,5000,3976,200910000.0,8072965620000.0,0,1,77777,0.7952,0.4035553989231218,0.005707135183259635,0.011185984959188884,40182.0,0.0,0.0,0.0,0.0
random,32,40000,0.025,0.325,5000,3976,200910000.0,8072965620000.0,0,1,77777,0.7952,0.4035553989231218,0.005707135183259635,0.011185984959188884,40182.0,0.0,0.0,0.0,0.0
random,32,40000,0.025,0.3375,5000,3976,200910000.0,8072965620000.0,0,1,77777,0.7952,0.4035553989231218,0.005707135183259635,0.011185984959188884,40182.0,0.0,0.0,0.0,0.0
