scenario,K,T,best_acc_mean,best_zeta,best_alpha,worst_acc_mean,worst_zeta,worst_alpha,clamp_rate_best,clamp_rate_worst,permute_mu,base_perm_seed
fusing_bump,32,10000,0.9192,0.975,0.0375,0.0266,0.0,0.0,0.0,0.0,1,77777
fusing_bump,32,20000,0.9796,1.0,0.0,0.0266,0.0,0.0,0.0,0.0,1,77777
fusing_bump,32,40000,0.9984,0.95,0.0375,0.0266,0.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,10000,0.9874,0.975,0.0375,0.0266,0.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,20000,0.9988,1.0,0.0,0.0266,0.0,0.0,0.0,0.0,1,77777
gaps_decreasing,32,40000,1.0,0.575,0.125,0.0266,0.0,0.0,0.0,0.0,1,77777
gaps_decreasing_tiny,32,10000,0.446,0.95,0.0375,0.0266,0.0,0.0,0.0,0.0,1,77777
gaps_decreasing_tiny,32,20000,0.556,0.975,0.0375,0.0266,0.0,0.0,0.0,0.0,1,77777
gaps_decreasing_tiny,32,40000,0.6778,1.0,0.0,0.0266,0.0,0.0,0.0,0.0,1,77777
gaps_increasing,32,10000,0.3188,1.0,0.0,0.0266,0.0,0.0,0.0,0.0,1,77777
gaps_increasing,32,20000,0.3674,0.975,0.0625,0.0266,0.0,0.0,0.0,0.0,1,77777
gaps_increasing,32,40000,0.422,0.95,0.0,0.0266,0.0,0.0,0.0,0.0,1,77777
gaps_increasing_tiny,32,10000,0.1368,0.925,0.0625,0.0266,0.0,0.0,0.0,0.0,1,77777
gaps_increasing_tiny,32,20000,0.158,0.975,0.1875,0.0266,0.0,0.0,0.0,0.0,1,77777
gaps_increasing_tiny,32,40000,0.1788,0.875,0.1,0.0266,0.0,0.0,0.0,0.0,1,77777
random,32,10000,0.9996,0.975,0.0,0.0266,0.0,0.0,0.0,0.0,1,77777
random,32,20000,1.0,0.625,0.0,0.0266,0.0,0.0,0.0,0.0,1,77777
random,32,40000,1.0,0.275,0.35,0.0266,0.0,0.0,0.0,0.0,1,77777
uniform_gap,32,10000,0.9686,1.0,0.0,0.0266,0.0,0.0,0.0,0.0,1,77777
uniform_gap,32,20000,0.9942,0.925,0.0375,0.0266,0.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,1.0,0.975,0.0375,0.0266,0.0,0.0,0.0,0.0,1,77777
uniform_tiny_gap,32,10000,0.2276,0.975,0.1,0.0266,0.0,0.0,0.0,0.0,1,77777
uniform_tiny_gap,32,20000,0.2912,0.975,0.0,0.0266,0.0,0.0,0.0,0.0,1,77777
uniform_tiny_gap,32,40000,0.3816,1.0,0.0,0.0266,0.0,0.0,0.0,0.0,1,77777
unique_best,32,10000,1.0,0.9,0.0,0.0266,0.0,0.0,0.0,0.0,1,77777
unique_best,32,20000,1.0,0.4,0.1875,0.0266,0.0,0.0,0.0,0.0,1,77777
unique_best,32,40000,1.0,0.0,0.5,0.0266,0.0,0.0,0.0,0.0,1,77777
unique_best_tiny,32,10000,0.1994,1.0,0.0,0.0264,0.0,0.0375,0.0,0.0,1,77777
unique_best_tiny,32,20000,0.3044,0.975,0.0625,0.0266,0.0,0.0,0.0,0.0,1,77777
unique_best_tiny,32,40000,0.4734,1.0,0.0,0.0266,0.0,0.0,0.0,0.0,1,77777
