scenario,K,T,zeta_req,alpha_req,n,acc_mean,acc_std,acc_ci95,spent_mean,spent_std,spent_ci95,clamp_rate,permute_mu,base_perm_seed
uniform_gap,32,40000,0.0,0.0,5000,0.0266,0.16091127990293283,0.004460233121799801,40484.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.0,0.0125,5000,0.0266,0.16091127990293283,0.004460233121799801,40484.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.0,0.025,5000,0.0266,0.16091127990293283,0.004460233121799801,40484.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.0,0.0375,5000,0.0276,0.1638238077936171,0.004540964276098194,40484.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.0,0.05,5000,0.0276,0.1638238077936171,0.004540964276098194,40484.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.0,0.0625,5000,0.0306,0.17223135603019563,0.004774009623450711,40484.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.0,0.075,5000,0.0306,0.17223135603019563,0.004774009623450711,40484.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.0,0.0875,5000,0.0306,0.17223135603019563,0.004774009623450711,40484.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.0,0.1,5000,0.0326,0.1775872743188543,0.004922468104193261,40484.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.0,0.1125,5000,0.0326,0.1775872743188543,0.004922468104193261,40484.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.0,0.125,5000,0.0398,0.19548902782509303,0.0054186793951294075,40484.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.0,0.1375,5000,0.0398,0.19548902782509303,0.0054186793951294075,40484.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.0,0.15,5000,0.0398,0.19548902782509303,0.0054186793951294075,40484.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.0,0.1625,5000,0.0412,0.1987525094181203,0.005509138489745924,40484.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.0,0.175,5000,0.0412,0.1987525094181203,0.005509138489745924,40484.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.0,0.1875,5000,0.0452,0.2077425329584676,0.005758329228795449,40484.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.0,0.2,5000,0.0452,0.2077425329584676,0.005758329228795449,40484.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.0,0.2125,5000,0.0452,0.2077425329584676,0.005758329228795449,40484.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.0,0.225,5000,0.0468,0.21121022702511355,0.005854448804387993,40484.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.0,0.2375,5000,0.0468,0.21121022702511355,0.005854448804387993,40484.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.0,0.25,5000,0.0868,0.28154175534012715,0.007803939308016176,40484.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.0,0.2625,5000,0.0868,0.28154175534012715,0.007803939308016176,40484.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.0,0.275,5000,0.0868,0.28154175534012715,0.007803939308016176,40484.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.0,0.2875,5000,0.0908,0.2873244855559651,0.00796422841179232,40484.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.0,0.3,5000,0.0908,0.2873244855559651,0.00796422841179232,40484.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.0,0.3125,5000,0.1072,0.30936735445098273,0.00857522556503326,40484.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.0,0.325,5000,0.1072,0.30936735445098273,0.00857522556503326,40484.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.0,0.3375,5000,0.1072,0.30936735445098273,0.00857522556503326,40484.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.0,0.35,5000,0.1114,0.3146268265739589,0.008721010694455088,40484.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.0,0.3625,5000,0.1114,0.3146268265739589,0.008721010694455088,40484.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.0,0.375,5000,0.166,0.3720806364217305,0.010313549053550869,40484.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.0,0.3875,5000,0.166,0.3720806364217305,0.010313549053550869,40484.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.0,0.4,5000,0.166,0.3720806364217305,0.010313549053550869,40484.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.0,0.4125,5000,0.1736,0.37876515151212103,0.010498834358765738,40484.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.0,0.425,5000,0.1736,0.37876515151212103,0.010498834358765738,40484.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.0,0.4375,5000,0.2042,0.40311581462403584,0.011173800304068442,40484.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.0,0.45,5000,0.2042,0.40311581462403584,0.011173800304068442,40484.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.0,0.4625,5000,0.2042,0.40311581462403584,0.011173800304068442,40484.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.0,0.475,5000,0.2156,0.41123793599326414,0.01139893402230226,40484.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.0,0.4875,5000,0.2156,0.41123793599326414,0.01139893402230226,40484.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.0,0.5,5000,0.9868,0.11413045167701734,0.003163534719771539,40484.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.025,0.0,5000,0.6402,0.4799416214499426,0.013303303023956119,40180.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.025,0.0125,5000,0.6402,0.4799416214499426,0.013303303023956119,40180.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.025,0.025,5000,0.6402,0.4799416214499426,0.013303303023956119,40180.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.025,0.0375,5000,0.653,0.47601575604175117,0.01319448358671153,40173.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.025,0.05,5000,0.653,0.47601575604175117,0.01319448358671153,40173.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.025,0.0625,5000,0.6492,0.4772204522021243,0.013227876060622883,40168.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.025,0.075,5000,0.6492,0.4772204522021243,0.013227876060622883,40168.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.025,0.0875,5000,0.6492,0.4772204522021243,0.013227876060622883,40168.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.025,0.1,5000,0.6528,0.4760799932784405,0.013196264152069705,40161.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.025,0.1125,5000,0.6528,0.4760799932784405,0.013196264152069705,40161.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.025,0.125,5000,0.6524,0.47620818976577883,0.013199817577406136,40185.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.025,0.1375,5000,0.6524,0.47620818976577883,0.013199817577406136,40185.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.025,0.15,5000,0.6524,0.47620818976577883,0.013199817577406136,40185.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.025,0.1625,5000,0.6476,0.4777177409307718,0.013241660200926467,40177.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.025,0.175,5000,0.6476,0.4777177409307718,0.013241660200926467,40177.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.025,0.1875,5000,0.658,0.47437959483940706,0.01314913151200489,40167.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.025,0.2,5000,0.658,0.47437959483940706,0.01314913151200489,40167.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.025,0.2125,5000,0.658,0.47437959483940706,0.01314913151200489,40167.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.025,0.225,5000,0.6492,0.4772204522021243,0.013227876060622883,40159.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.025,0.2375,5000,0.6492,0.4772204522021243,0.013227876060622883,40159.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.025,0.25,5000,0.6796,0.46663030334516425,0.012934332110658052,40173.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.025,0.2625,5000,0.6796,0.46663030334516425,0.012934332110658052,40173.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.025,0.275,5000,0.6796,0.46663030334516425,0.012934332110658052,40173.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.025,0.2875,5000,0.6842,0.4648336906894766,0.012884532548571562,40164.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.025,0.3,5000,0.6842,0.4648336906894766,0.012884532548571562,40164.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.025,0.3125,5000,0.682,0.4656994739099455,0.01290853083507182,40182.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.025,0.325,5000,0.682,0.4656994739099455,0.01290853083507182,40182.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.025,0.3375,5000,0.682,0.4656994739099455,0.01290853083507182,40182.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.025,0.35,5000,0.687,0.4637143517295965,0.012853506055547644,40172.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.025,0.3625,5000,0.687,0.4637143517295965,0.012853506055547644,40172.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.025,0.375,5000,0.6866,0.46387545742364944,0.012857971677554746,40149.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.025,0.3875,5000,0.6866,0.46387545742364944,0.012857971677554746,40149.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.025,0.4,5000,0.6866,0.46387545742364944,0.012857971677554746,40149.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.025,0.4125,5000,0.6942,0.46074543947824376,0.012771212006509013,40158.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.025,0.425,5000,0.6942,0.46074543947824376,0.012771212006509013,40158.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.025,0.4375,5000,0.6936,0.46099787418164956,0.012778209139499947,40172.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.025,0.45,5000,0.6936,0.46099787418164956,0.012778209139499947,40172.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.025,0.4625,5000,0.6936,0.46099787418164956,0.012778209139499947,40172.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.025,0.475,5000,0.693,0.4612493902434994,0.012785180809046073,40160.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.025,0.4875,5000,0.693,0.4612493902434994,0.012785180809046073,40160.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.025,0.5,5000,0.9866,0.11498017220373245,0.0031870877711164427,39956.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.05,0.0,5000,0.7548,0.43020571823256837,0.011924694122165146,40450.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.05,0.0125,5000,0.7548,0.43020571823256837,0.011924694122165146,40450.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.05,0.025,5000,0.7548,0.43020571823256837,0.011924694122165146,40450.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.05,0.0375,5000,0.7586,0.42793228436284164,0.01186167775033532,40437.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.05,0.05,5000,0.7586,0.42793228436284164,0.01186167775033532,40437.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.05,0.0625,5000,0.7512,0.4323176609855304,0.011983234188615358,40459.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.05,0.075,5000,0.7512,0.4323176609855304,0.011983234188615358,40459.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.05,0.0875,5000,0.7512,0.4323176609855304,0.011983234188615358,40459.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.05,0.1,5000,0.7536,0.4309141909939843,0.011944331985205366,40445.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.05,0.1125,5000,0.7536,0.4309141909939843,0.011944331985205366,40445.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.05,0.125,5000,0.7464,0.43507130450076803,0.012059561292717078,40466.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.05,0.1375,5000,0.7464,0.43507130450076803,0.012059561292717078,40466.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.05,0.15,5000,0.7464,0.43507130450076803,0.012059561292717078,40466.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.05,0.1625,5000,0.755,0.43008720046055776,0.011921408977130177,40451.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.05,0.175,5000,0.755,0.43008720046055776,0.011921408977130177,40451.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.05,0.1875,5000,0.759,0.4276903085177404,0.011854970522105905,40459.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.05,0.2,5000,0.759,0.4276903085177404,0.011854970522105905,40459.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.05,0.2125,5000,0.759,0.4276903085177404,0.011854970522105905,40459.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.05,0.225,5000,0.7626,0.42548941232420817,0.01179396479207904,40443.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.05,0.2375,5000,0.7626,0.42548941232420817,0.01179396479207904,40443.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.05,0.25,5000,0.7806,0.4138401140537249,0.011471062718196602,40454.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.05,0.2625,5000,0.7806,0.4138401140537249,0.011471062718196602,40454.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.05,0.275,5000,0.7806,0.4138401140537249,0.011471062718196602,40454.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.05,0.2875,5000,0.7688,0.4216,0.011686155782771337,40460.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.05,0.3,5000,0.7688,0.4216,0.011686155782771337,40460.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.05,0.3125,5000,0.7754,0.41731863126393004,0.01156748229602276,40463.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.05,0.325,5000,0.7754,0.41731863126393004,0.01156748229602276,40463.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.05,0.3375,5000,0.7754,0.41731863126393004,0.01156748229602276,40463.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.05,0.35,5000,0.7742,0.4181080721536,0.01158936448107488,40465.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.05,0.3625,5000,0.7742,0.4181080721536,0.01158936448107488,40465.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.05,0.375,5000,0.7782,0.4154572902236763,0.011515888554653521,40436.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.05,0.3875,5000,0.7782,0.4154572902236763,0.011515888554653521,40436.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.05,0.4,5000,0.7782,0.4154572902236763,0.011515888554653521,40436.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.05,0.4125,5000,0.7758,0.41705438494277935,0.01156015776169166,40454.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.05,0.425,5000,0.7758,0.41705438494277935,0.01156015776169166,40454.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.05,0.4375,5000,0.777,0.41625833324991823,0.011538092334523934,40455.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.05,0.45,5000,0.777,0.41625833324991823,0.011538092334523934,40455.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.05,0.4625,5000,0.777,0.41625833324991823,0.011538092334523934,40455.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.05,0.475,5000,0.7792,0.4147859206868044,0.011497279140527119,40449.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.05,0.4875,5000,0.7792,0.4147859206868044,0.011497279140527119,40449.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.05,0.5,5000,0.9856,0.1191328670015121,0.0033021945982634,40034.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.075,0.0,5000,0.8336,0.3724393104923271,0.010323490991559008,40120.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.075,0.0125,5000,0.8336,0.3724393104923271,0.010323490991559008,40120.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.075,0.025,5000,0.8336,0.3724393104923271,0.010323490991559008,40120.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.075,0.0375,5000,0.835,0.37118054905934933,0.010288599904748945,40132.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.075,0.05,5000,0.835,0.37118054905934933,0.010288599904748945,40132.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.075,0.0625,5000,0.8336,0.3724393104923271,0.010323490991559008,40104.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.075,0.075,5000,0.8336,0.3724393104923271,0.010323490991559008,40104.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.075,0.0875,5000,0.8336,0.3724393104923271,0.010323490991559008,40104.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.075,0.1,5000,0.8352,0.3709999460916402,0.0102835938458887,40113.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.075,0.1125,5000,0.8352,0.3709999460916402,0.0102835938458887,40113.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.075,0.125,5000,0.8366,0.369730225975643,0.010248398999882861,40124.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.075,0.1375,5000,0.8366,0.369730225975643,0.010248398999882861,40124.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.075,0.15,5000,0.8366,0.369730225975643,0.010248398999882861,40124.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.075,0.1625,5000,0.8354,0.37081914729420323,0.010278582358905336,40129.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.075,0.175,5000,0.8354,0.37081914729420323,0.010278582358905336,40129.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.075,0.1875,5000,0.8334,0.37261835703572094,0.010328453908538295,40141.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.075,0.2,5000,0.8334,0.37261835703572094,0.010328453908538295,40141.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.075,0.2125,5000,0.8334,0.37261835703572094,0.010328453908538295,40141.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.075,0.225,5000,0.8312,0.37457517269568197,0.010382694071347762,40117.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.075,0.2375,5000,0.8312,0.37457517269568197,0.010382694071347762,40117.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.075,0.25,5000,0.8482,0.3588269220668929,0.009946174834739233,40104.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.075,0.2625,5000,0.8482,0.3588269220668929,0.009946174834739233,40104.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.075,0.275,5000,0.8482,0.3588269220668929,0.009946174834739233,40104.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.075,0.2875,5000,0.8526,0.35450421718225017,0.009826355568408869,40125.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.075,0.3,5000,0.8526,0.35450421718225017,0.009826355568408869,40125.0,0.0,0.0,0.0,1,77777
uniform_gap,32,40000,0.075,0.3125,5000,0.8534,0.35370671466626125,0.00980424992647576,40125.0,0.0,0.0,0.0,1,77777
