scenario,K,T,c1_req,c2_req,alpha_req,n,acc_sum,spent_sum,spent_sumsq,error_cnt,permute_mu,base_perm_seed,acc_mean,acc_std,acc_sem,acc_ci95,spent_mean,spent_std
gaps_decreasing,32,20000,0.0,1.0,0.0,5000,133,100000000.0,2000000000000.0,0,1,77777,0.0266,0.16091127990293283,0.0022756291437754086,0.004460233121799801,20000.0,0.0
gaps_decreasing,32,20000,0.0,1.0,0.05,5000,3869,100000000.0,2000000000000.0,0,1,77777,0.7738,0.41837012321627365,0.0059166470234415704,0.011596628165945477,20000.0,0.0
gaps_decreasing,32,20000,0.0,1.0,0.1,5000,4517,100000000.0,2000000000000.0,0,1,77777,0.9034,0.2954123220178874,0.004177761122898245,0.00818841180088056,20000.0,0.0
gaps_decreasing,32,20000,0.0,1.0,0.15000000000000002,5000,4746,100000000.0,2000000000000.0,0,1,77777,0.9492,0.21958907076628373,0.0031054584202658375,0.006086698503721041,20000.0,0.0
gaps_decreasing,32,20000,0.0,1.0,0.2,5000,4863,100000000.0,2000000000000.0,0,1,77777,0.9726,0.16324594941376028,0.00230864635663412,0.004524946859002875,20000.0,0.0
gaps_decreasing,32,20000,0.0,1.0,0.25,5000,4927,100000000.0,2000000000000.0,0,1,77777,0.9854,0.1199451541330451,0.0016962806371588366,0.00332471004883132,20000.0,0.0
gaps_decreasing,32,20000,0.0,1.0,0.30000000000000004,5000,4950,100000000.0,2000000000000.0,0,1,77777,0.99,0.09949874371066204,0.0014071247279470295,0.002757964466776178,20000.0,0.0
gaps_decreasing,32,20000,0.0,1.0,0.35000000000000003,5000,4976,100000000.0,2000000000000.0,0,1,77777,0.9952,0.06911555541265675,0.0009774415583552836,0.0019157854543763557,20000.0,0.0
gaps_decreasing,32,20000,0.0,1.0,0.4,5000,4986,100000000.0,2000000000000.0,0,1,77777,0.9972,0.05284089325512982,0.0007472830788931359,0.0014646748346305463,20000.0,0.0
gaps_decreasing,32,20000,0.0,1.0,0.45,5000,4991,100000000.0,2000000000000.0,0,1,77777,0.9982,0.042388205906832434,0.0005994597567810576,0.0011749411232908728,20000.0,0.0
gaps_decreasing,32,20000,0.0,1.0,0.5,5000,4991,100000000.0,2000000000000.0,0,1,77777,0.9982,0.042388205906832434,0.0005994597567810576,0.0011749411232908728,20000.0,0.0
gaps_decreasing,32,20000,0.0,1.0,0.55,5000,4999,100000000.0,2000000000000.0,0,1,77777,0.9998,0.01414072133945005,0.00019997999899988897,0.0003919607980397824,20000.0,0.0
gaps_decreasing,32,20000,0.0,1.0,0.6000000000000001,5000,4999,100000000.0,2000000000000.0,0,1,77777,0.9998,0.01414072133945005,0.00019997999899988897,0.0003919607980397824,20000.0,0.0
gaps_decreasing,32,20000,0.0,1.0,0.65,5000,4999,100000000.0,2000000000000.0,0,1,77777,0.9998,0.01414072133945005,0.00019997999899988897,0.0003919607980397824,20000.0,0.0
gaps_decreasing,32,20000,0.0,1.0,0.7000000000000001,5000,5000,100000000.0,2000000000000.0,0,1,77777,1.0,0.0,0.0,0.0,20000.0,0.0
