scenario,K,T,c1_req,c2_req,alpha_req,n,acc_sum,spent_sum,spent_sumsq,error_cnt,permute_mu,base_perm_seed,acc_mean,acc_std,acc_sem,acc_ci95,spent_mean,spent_std
gaps_increasing,32,20000,0.0,1.0,0.0,5000,133,100000000.0,2000000000000.0,0,1,77777,0.0266,0.16091127990293283,0.0022756291437754086,0.004460233121799801,20000.0,0.0
gaps_increasing,32,20000,0.0,1.0,0.05,5000,962,100000000.0,2000000000000.0,0,1,77777,0.1924,0.3941855400696479,0.005574625368578591,0.010926265722414038,20000.0,0.0
gaps_increasing,32,20000,0.0,1.0,0.1,5000,1136,100000000.0,2000000000000.0,0,1,77777,0.2272,0.41902286333802835,0.005925878162770476,0.011614721199030132,20000.0,0.0
gaps_increasing,32,20000,0.0,1.0,0.15000000000000002,5000,1255,100000000.0,2000000000000.0,0,1,77777,0.251,0.4335885146080325,0.006131867578478844,0.012018460453818533,20000.0,0.0
gaps_increasing,32,20000,0.0,1.0,0.2,5000,1380,100000000.0,2000000000000.0,0,1,77777,0.276,0.4470167782086037,0.006321771903509331,0.012390672930878288,20000.0,0.0
gaps_increasing,32,20000,0.0,1.0,0.25,5000,1423,100000000.0,2000000000000.0,0,1,77777,0.2846,0.4512237139158358,0.006381266958841325,0.012507283239328997,20000.0,0.0
gaps_increasing,32,20000,0.0,1.0,0.30000000000000004,5000,1535,100000000.0,2000000000000.0,0,1,77777,0.307,0.4612493902434994,0.006523051433186772,0.012785180809046073,20000.0,0.0
gaps_increasing,32,20000,0.0,1.0,0.35000000000000003,5000,1485,100000000.0,2000000000000.0,0,1,77777,0.297,0.45693653826324726,0.006462058495556969,0.01266563465129166,20000.0,0.0
gaps_increasing,32,20000,0.0,1.0,0.4,5000,1567,100000000.0,2000000000000.0,0,1,77777,0.3134,0.46387545742364944,0.006560189631405483,0.012857971677554746,20000.0,0.0
gaps_increasing,32,20000,0.0,1.0,0.45,5000,1603,100000000.0,2000000000000.0,0,1,77777,0.3206,0.46670723157028543,0.006600236965442983,0.012936464452268247,20000.0,0.0
gaps_increasing,32,20000,0.0,1.0,0.5,5000,1610,100000000.0,2000000000000.0,0,1,77777,0.322,0.4672429774753174,0.006607813556691804,0.012951314571115936,20000.0,0.0
