scenario,K,T,c1_req,c2_req,alpha_req,n,acc_sum,spent_sum,spent_sumsq,error_cnt,permute_mu,base_perm_seed,acc_mean,acc_std,acc_sem,acc_ci95,spent_mean,spent_std
gaps_increasing_tiny,32,40000,0.0,1.0,0.0,5000,133,200000000.0,8000000000000.0,0,1,77777,0.0266,0.16091127990293283,0.0022756291437754086,0.004460233121799801,40000.0,0.0
gaps_increasing_tiny,32,40000,0.0,1.0,0.05,5000,428,200000000.0,8000000000000.0,0,1,77777,0.0856,0.2797724789896247,0.00395658034165869,0.007754897469651033,40000.0,0.0
gaps_increasing_tiny,32,40000,0.0,1.0,0.1,5000,527,200000000.0,8000000000000.0,0,1,77777,0.1054,0.30706813576143,0.004342599221664371,0.008511494474462167,40000.0,0.0
gaps_increasing_tiny,32,40000,0.0,1.0,0.15000000000000002,5000,577,200000000.0,8000000000000.0,0,1,77777,0.1154,0.31950405318242836,0.004518469652437648,0.00885620051877779,40000.0,0.0
gaps_increasing_tiny,32,40000,0.0,1.0,0.2,5000,672,200000000.0,8000000000000.0,0,1,77777,0.1344,0.34108157382069176,0.004823621875727823,0.009454298876426532,40000.0,0.0
gaps_increasing_tiny,32,40000,0.0,1.0,0.25,5000,657,200000000.0,8000000000000.0,0,1,77777,0.1314,0.3378372981184878,0.004777740888746479,0.009364372141943099,40000.0,0.0
gaps_increasing_tiny,32,40000,0.0,1.0,0.30000000000000004,5000,756,200000000.0,8000000000000.0,0,1,77777,0.1512,0.358243715925346,0.005066331216965586,0.00993000918525255,40000.0,0.0
gaps_increasing_tiny,32,40000,0.0,1.0,0.35000000000000003,5000,700,200000000.0,8000000000000.0,0,1,77777,0.14,0.34698703145794946,0.004907137658554119,0.009617989810766073,40000.0,0.0
gaps_increasing_tiny,32,40000,0.0,1.0,0.4,5000,759,200000000.0,8000000000000.0,0,1,77777,0.1518,0.3588269220668929,0.005074578997315935,0.009946174834739233,40000.0,0.0
gaps_increasing_tiny,32,40000,0.0,1.0,0.45,5000,794,200000000.0,8000000000000.0,0,1,77777,0.1588,0.36548948001276316,0.005168801795387399,0.010130851518959302,40000.0,0.0
gaps_increasing_tiny,32,40000,0.0,1.0,0.5,5000,786,200000000.0,8000000000000.0,0,1,77777,0.1572,0.3639892306099179,0.005147585064862939,0.010089266727131362,40000.0,0.0
gaps_increasing_tiny,32,40000,0.0,1.0,0.55,5000,811,200000000.0,8000000000000.0,0,1,77777,0.1622,0.36863418181172514,0.00521327459472451,0.010218018205660038,40000.0,0.0
gaps_increasing_tiny,32,40000,0.0,1.0,0.6000000000000001,5000,836,200000000.0,8000000000000.0,0,1,77777,0.1672,0.37315433804258524,0.005277199257181786,0.010343310544076301,40000.0,0.0
gaps_increasing_tiny,32,40000,0.0,1.0,0.65,5000,825,200000000.0,8000000000000.0,0,1,77777,0.165,0.3711805490593493,0.0052492856656882365,0.010288599904748943,40000.0,0.0
gaps_increasing_tiny,32,40000,0.0,1.0,0.7000000000000001,5000,836,200000000.0,8000000000000.0,0,1,77777,0.1672,0.37315433804258524,0.005277199257181786,0.010343310544076301,40000.0,0.0
gaps_increasing_tiny,32,40000,0.0,1.0,0.75,5000,846,200000000.0,8000000000000.0,0,1,77777,0.1692,0.3749284731785517,0.00530228931688945,0.010392487061103323,40000.0,0.0
gaps_increasing_tiny,32,40000,0.0,1.0,0.8,5000,885,200000000.0,8000000000000.0,0,1,77777,0.177,0.3816687045069323,0.0053976105824707285,0.010579316741642628,40000.0,0.0
