scenario,K,T,c1_req,c2_req,alpha_req,n,acc_sum,spent_sum,spent_sumsq,error_cnt,permute_mu,base_perm_seed,acc_mean,acc_std,acc_sem,acc_ci95,spent_mean,spent_std
random,32,10000,0.0,1.0,0.0,5000,133,50000000.0,500000000000.0,0,1,77777,0.0266,0.16091127990293283,0.0022756291437754086,0.004460233121799801,10000.0,0.0
random,32,10000,0.0,1.0,0.05,5000,3101,50000000.0,500000000000.0,0,1,77777,0.6202,0.48533695511469144,0.0068637010424405865,0.013452854043183549,10000.0,0.0
random,32,10000,0.0,1.0,0.1,5000,3991,50000000.0,500000000000.0,0,1,77777,0.7982,0.4013436931110292,0.005675856939705228,0.011124679601822247,10000.0,0.0
random,32,10000,0.0,1.0,0.15000000000000002,5000,4468,50000000.0,500000000000.0,0,1,77777,0.8936,0.30834889330107873,0.004360711868491199,0.00854699526224275,10000.0,0.0
random,32,10000,0.0,1.0,0.2,5000,4727,50000000.0,500000000000.0,0,1,77777,0.9454,0.2271977992851163,0.0032130620909033175,0.006297601698170502,10000.0,0.0
random,32,10000,0.0,1.0,0.25,5000,4855,50000000.0,500000000000.0,0,1,77777,0.971,0.1678064361101803,0.0023731413780051125,0.00465135710089002,10000.0,0.0
random,32,10000,0.0,1.0,0.30000000000000004,5000,4916,50000000.0,500000000000.0,0,1,77777,0.9832,0.12852143790045314,0.0018175676053451234,0.003562432506476442,10000.0,0.0
random,32,10000,0.0,1.0,0.35000000000000003,5000,4949,50000000.0,500000000000.0,0,1,77777,0.9898,0.10047865444958938,0.0014209827585160903,0.002785126206691537,10000.0,0.0
random,32,10000,0.0,1.0,0.4,5000,4964,50000000.0,500000000000.0,0,1,77777,0.9928,0.08454679177828088,0.001195672195879789,0.0023435175039243864,10000.0,0.0
random,32,10000,0.0,1.0,0.45,5000,4982,50000000.0,500000000000.0,0,1,77777,0.9964,0.05989190262464574,0.0008469994096810277,0.0016601188429748142,10000.0,0.0
random,32,10000,0.0,1.0,0.5,5000,4988,50000000.0,500000000000.0,0,1,77777,0.9976,0.04893097178679326,0.000691988439209783,0.0013562973408511746,10000.0,0.0
random,32,10000,0.0,1.0,0.55,5000,4993,50000000.0,500000000000.0,0,1,77777,0.9986,0.03739037309254826,0.0005287797272967179,0.001036408265501567,10000.0,0.0
random,32,10000,0.0,1.0,0.6000000000000001,5000,4997,50000000.0,500000000000.0,0,1,77777,0.9994,0.02448754785600316,0.0003463062228721987,0.0006787601968295094,10000.0,0.0
random,32,10000,0.0,1.0,0.65,5000,4998,50000000.0,500000000000.0,0,1,77777,0.9996,0.01999599959991888,0.0002827861382741226,0.0005542608310172803,10000.0,0.0
random,32,10000,0.0,1.0,0.7000000000000001,5000,4999,50000000.0,500000000000.0,0,1,77777,0.9998,0.01414072133945005,0.00019997999899988897,0.0003919607980397824,10000.0,0.0
random,32,10000,0.0,1.0,0.75,5000,5000,50000000.0,500000000000.0,0,1,77777,1.0,0.0,0.0,0.0,10000.0,0.0
random,32,10000,0.0,1.0,0.8,5000,5000,50000000.0,500000000000.0,0,1,77777,1.0,0.0,0.0,0.0,10000.0,0.0
random,32,10000,0.0,1.0,0.8500000000000001,5000,5000,50000000.0,500000000000.0,0,1,77777,1.0,0.0,0.0,0.0,10000.0,0.0
random,32,10000,0.0,1.0,0.9,5000,4999,50000000.0,500000000000.0,0,1,77777,0.9998,0.01414072133945005,0.00019997999899988897,0.0003919607980397824,10000.0,0.0
random,32,10000,0.0,1.0,0.9500000000000001,5000,4999,50000000.0,500000000000.0,0,1,77777,0.9998,0.01414072133945005,0.00019997999899988897,0.0003919607980397824,10000.0,0.0
random,32,10000,0.0,1.0,1.0,5000,5000,50000000.0,500000000000.0,0,1,77777,1.0,0.0,0.0,0.0,10000.0,0.0
random,32,10000,0.25,0.75,0.0,5000,4561,50000000.0,500000000000.0,0,1,77777,0.9122,0.2830038162286862,0.0040022783511395104,0.00784446556823344,10000.0,0.0
random,32,10000,0.25,0.75,0.05,5000,3730,50000000.0,500000000000.0,0,1,77777,0.746,0.4352975993501458,0.006156037686694259,0.012065833865920748,10000.0,0.0
random,32,10000,0.25,0.75,0.1,5000,4501,50000000.0,500000000000.0,0,1,77777,0.9002,0.29973314798333534,0.004238866829708147,0.008308178986227967,10000.0,0.0
random,32,10000,0.25,0.75,0.15000000000000002,5000,4753,50000000.0,500000000000.0,0,1,77777,0.9506,0.21670173049608993,0.003064625262572897,0.006006665514642878,10000.0,0.0
random,32,10000,0.25,0.75,0.2,5000,4882,50000000.0,500000000000.0,0,1,77777,0.9764,0.1517993412370421,0.002146766871367264,0.0042076630678798375,10000.0,0.0
random,32,10000,0.25,0.75,0.25,5000,4944,50000000.0,500000000000.0,0,1,77777,0.9888,0.10523573537539417,0.0014882580421418851,0.002916985762598095,10000.0,0.0
random,32,10000,0.25,0.75,0.30000000000000004,5000,4969,50000000.0,500000000000.0,0,1,77777,0.9938,0.07849560497250775,0.0011100954913880142,0.0021757871631205078,10000.0,0.0
random,32,10000,0.25,0.75,0.35000000000000003,5000,4981,50000000.0,500000000000.0,0,1,77777,0.9962,0.0615269046840488,0.0008701218305501851,0.001705438787878363,10000.0,0.0
random,32,10000,0.25,0.75,0.4,5000,4987,50000000.0,500000000000.0,0,1,77777,0.9974,0.05092386473943279,0.0007201722016295889,0.0014115375151939943,10000.0,0.0
random,32,10000,0.25,0.75,0.45,5000,4993,50000000.0,500000000000.0,0,1,77777,0.9986,0.03739037309254826,0.0005287797272967179,0.001036408265501567,10000.0,0.0
random,32,10000,0.25,0.75,0.5,5000,4994,50000000.0,500000000000.0,0,1,77777,0.9988,0.03462022530255947,0.0004896039215529179,0.000959623686243719,10000.0,0.0
random,32,10000,0.25,0.75,0.55,5000,4996,50000000.0,500000000000.0,0,1,77777,0.9992,0.02827295527531607,0.00039983996798719927,0.0007836863372549105,10000.0,0.0
random,32,10000,0.25,0.75,0.6000000000000001,5000,4996,50000000.0,500000000000.0,0,1,77777,0.9992,0.02827295527531607,0.00039983996798719927,0.0007836863372549105,10000.0,0.0
random,32,10000,0.25,0.75,0.65,5000,4993,50000000.0,500000000000.0,0,1,77777,0.9986,0.03739037309254826,0.0005287797272967179,0.001036408265501567,10000.0,0.0
random,32,10000,0.25,0.75,0.7000000000000001,5000,4998,50000000.0,500000000000.0,0,1,77777,0.9996,0.01999599959991888,0.0002827861382741226,0.0005542608310172803,10000.0,0.0
random,32,10000,0.25,0.75,0.75,5000,4993,50000000.0,500000000000.0,0,1,77777,0.9986,0.03739037309254826,0.0005287797272967179,0.001036408265501567,10000.0,0.0
random,32,10000,0.25,0.75,0.8,5000,4983,50000000.0,500000000000.0,0,1,77777,0.9966,0.05821030836544296,0.0008232180756032947,0.0016135074281824575,10000.0,0.0
random,32,10000,0.25,0.75,0.8500000000000001,5000,4971,50000000.0,500000000000.0,0,1,77777,0.9942,0.07593655246322437,0.0010739050237334796,0.00210485384651762,10000.0,0.0
random,32,10000,0.25,0.75,0.9,5000,4914,50000000.0,500000000000.0,0,1,77777,0.9828,0.13001599901550576,0.001838703891332152,0.0036038596270110182,10000.0,0.0
random,32,10000,0.25,0.75,0.9500000000000001,5000,4612,50000000.0,500000000000.0,0,1,77777,0.9224,0.2675410996463908,0.003783602516121375,0.007415860931597895,10000.0,0.0
random,32,10000,0.25,0.75,1.0,5000,5000,50000000.0,500000000000.0,0,1,77777,1.0,0.0,0.0,0.0,10000.0,0.0
random,32,10000,0.5,0.5,0.0,5000,4561,50000000.0,500000000000.0,0,1,77777,0.9122,0.2830038162286862,0.0040022783511395104,0.00784446556823344,10000.0,0.0
random,32,10000,0.5,0.5,0.05,5000,4317,50000000.0,500000000000.0,0,1,77777,0.8634,0.343424576872419,0.004856756942652165,0.009519243607598243,10000.0,0.0
random,32,10000,0.5,0.5,0.1,5000,4741,50000000.0,500000000000.0,0,1,77777,0.9482,0.2216230132454659,0.0031342227106572994,0.006143076512888306,10000.0,0.0
random,32,10000,0.5,0.5,0.15000000000000002,5000,4893,50000000.0,500000000000.0,0,1,77777,0.9786,0.14471364828515648,0.0020465600406535827,0.004011257679681022,10000.0,0.0
random,32,10000,0.5,0.5,0.2,5000,4943,50000000.0,500000000000.0,0,1,77777,0.9886,0.10616044461097536,0.001501335405563991,0.002942617394905422,10000.0,0.0
random,32,10000,0.5,0.5,0.25,5000,4949,50000000.0,500000000000.0,0,1,77777,0.9898,0.10047865444958938,0.0014209827585160903,0.002785126206691537,10000.0,0.0
