[Done] fusing_bump K=32 T=10000 | processed 37590 batches
[Done] uniform_gap K=32 T=10000 | processed 37590 batches
[Done] uniform_tiny_gap K=32 T=10000 | processed 37590 batches
[Done] unique_best_tiny K=32 T=10000 | processed 37590 batches
[Done] unique_best K=32 T=10000 | processed 37590 batches
[Done] gaps_increasing_tiny K=32 T=10000 | processed 37590 batches
[Done] gaps_increasing K=32 T=10000 | processed 37590 batches
[Done] gaps_decreasing_tiny K=32 T=10000 | processed 37590 batches
[Done] gaps_decreasing K=32 T=10000 | processed 37590 batches
[Done] random K=32 T=10000 | processed 37590 batches
[Done] fusing_bump K=32 T=20000 | processed 37590 batches
[Done] uniform_gap K=32 T=20000 | processed 37590 batches
[Done] uniform_tiny_gap K=32 T=20000 | processed 37590 batches
[Done] unique_best_tiny K=32 T=20000 | processed 37590 batches
[Done] unique_best K=32 T=20000 | processed 37590 batches
[Done] gaps_increasing_tiny K=32 T=20000 | processed 37590 batches
[Done] gaps_increasing K=32 T=20000 | processed 37590 batches
[Done] gaps_decreasing_tiny K=32 T=20000 | processed 37590 batches
[Done] gaps_decreasing K=32 T=20000 | processed 37590 batches
[Done] random K=32 T=20000 | processed 37590 batches
[Done] fusing_bump K=32 T=40000 | processed 37590 batches
[Done] uniform_gap K=32 T=40000 | processed 37590 batches
[Done] uniform_tiny_gap K=32 T=40000 | processed 37590 batches
[Done] unique_best_tiny K=32 T=40000 | processed 37590 batches
[Done] unique_best K=32 T=40000 | processed 37590 batches
[Done] gaps_increasing_tiny K=32 T=40000 | processed 37590 batches
