scenario,K,T,c1_req,c2_req,alpha_req,n,acc_sum,spent_sum,spent_sumsq,error_cnt,permute_mu,base_perm_seed,acc_mean,acc_std,acc_sem,acc_ci95,spent_mean,spent_std
unique_best_tiny,32,20000,0.0,1.0,0.0,5000,133,100000000.0,2000000000000.0,0,1,77777,0.0266,0.16091127990293283,0.0022756291437754086,0.004460233121799801,20000.0,0.0
unique_best_tiny,32,20000,0.0,1.0,0.05,5000,329,100000000.0,2000000000000.0,0,1,77777,0.0658,0.24793216814282087,0.0035062903473614387,0.006872329080828419,20000.0,0.0
unique_best_tiny,32,20000,0.0,1.0,0.1,5000,440,100000000.0,2000000000000.0,0,1,77777,0.088,0.28329489935401236,0.004006394888175653,0.00785253398082428,20000.0,0.0
unique_best_tiny,32,20000,0.0,1.0,0.15000000000000002,5000,524,100000000.0,2000000000000.0,0,1,77777,0.1048,0.3062955435523018,0.004331673117861042,0.008490079311007643,20000.0,0.0
unique_best_tiny,32,20000,0.0,1.0,0.2,5000,592,100000000.0,2000000000000.0,0,1,77777,0.1184,0.3230811662725019,0.004569057670898892,0.008955353034961828,20000.0,0.0
unique_best_tiny,32,20000,0.0,1.0,0.25,5000,694,100000000.0,2000000000000.0,0,1,77777,0.1388,0.3457377040474469,0.004889469500876347,0.00958336022171764,20000.0,0.0
unique_best_tiny,32,20000,0.0,1.0,0.30000000000000004,5000,793,100000000.0,2000000000000.0,0,1,77777,0.1586,0.3653026690293954,0.00516615988912461,0.010125673382684235,20000.0,0.0
unique_best_tiny,32,20000,0.0,1.0,0.35000000000000003,5000,925,100000000.0,2000000000000.0,0,1,77777,0.185,0.38829756630707846,0.005491356845079365,0.010763059416355556,20000.0,0.0
unique_best_tiny,32,20000,0.0,1.0,0.4,5000,942,100000000.0,2000000000000.0,0,1,77777,0.1884,0.3910312519479741,0.005530016998165557,0.01083883331640449,20000.0,0.0
unique_best_tiny,32,20000,0.0,1.0,0.45,5000,1028,100000000.0,2000000000000.0,0,1,77777,0.2056,0.40413938189688964,0.00571539394967661,0.011202172141366155,20000.0,0.0
unique_best_tiny,32,20000,0.0,1.0,0.5,5000,1075,100000000.0,2000000000000.0,0,1,77777,0.215,0.41082234603292944,0.005809905334857015,0.01138741445631975,20000.0,0.0
unique_best_tiny,32,20000,0.0,1.0,0.55,5000,1195,100000000.0,2000000000000.0,0,1,77777,0.239,0.42647274238806865,0.006031235362676538,0.011821221310846015,20000.0,0.0
unique_best_tiny,32,20000,0.0,1.0,0.6000000000000001,5000,1202,100000000.0,2000000000000.0,0,1,77777,0.2404,0.42732638579895815,0.006043307703567642,0.011844883098992579,20000.0,0.0
unique_best_tiny,32,20000,0.0,1.0,0.65,5000,1290,100000000.0,2000000000000.0,0,1,77777,0.258,0.4375339986789598,0.006187665149311168,0.012127823692649888,20000.0,0.0
unique_best_tiny,32,20000,0.0,1.0,0.7000000000000001,5000,1336,100000000.0,2000000000000.0,0,1,77777,0.2672,0.4424976384117773,0.006257861615600013,0.012265408766576025,20000.0,0.0
unique_best_tiny,32,20000,0.0,1.0,0.75,5000,1417,100000000.0,2000000000000.0,0,1,77777,0.2834,0.45064890990659234,0.006373138002585539,0.012491350485067656,20000.0,0.0
unique_best_tiny,32,20000,0.0,1.0,0.8,5000,1482,100000000.0,2000000000000.0,0,1,77777,0.2964,0.4566695085069727,0.006458282124528162,0.012658232964075198,20000.0,0.0
